country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,42.2,41.7,41.1,40.9,40.6,40.8,41.1,40.3,40.4,40,39.4,39.6,39.6,39.6,39.6,39,38.9,38.9,38.5
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,40.9,41.1,41.8,41.4,40.5,40.8,40.5,40.1,40.7,40,40.2,40.1,39.4,39.1,38.9,39,39.1,39.1,39.1,39,38.1
Sweden,38.8,38.2,37,36.8,36.8,36.6,36.3,35.9,35.7,35.7,35.6,35.4,35.6,35.7,36,36.3,36.5,,,,,,,,,34.2,34.6,36.7,34.9,36.8,37.1,35,35.4,34.5,35,36.2,36.1,36.1,36.1,35.6,36.3,36.2,36.1,36,35.8,35.8,36.2,35.9
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,,,43.1,43.7,43.7,42.5
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,46,46,44.2,44.1,43.3,43.2,44
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,,,40.8,,,,
Turkey,,,,,,,,,,,,,,,,,,,46.2,45.8,47.1,46.3,45.4,45.2,46.1,48,46.6,44.3,47.2,45.2,46.5,48.6,48.7,48.7,49.3,51.4,51.9,49.6,,48.8,47.7,47.4,48.1,46.9,47.1,46.7,46.4,45.9
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4,,,,,39.1,,,,,,,,41.4,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,34.5,34,,,,40
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,38,38,38,39,39,39,39
Uruguay,,,,,,,,,,,,,,,,,42.2,43.1,42.6,43,42.8,42.5,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,38.7,38.8,39,38.9,38.5,38.1,38,38.3,38.8,39,39.1,39,39.4,39.6,39.4,39.2,38.9,39.4,39.2,39.3,39.3,39.5,39.3,39.6,37.3,36.9,36.9,36.7,36.8,36.9,36.9,36.9,36.7,35.7,36.1,36.2,36.4,36.6,36.6,36.6,36.7,36.6
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,39.2,39.6,40.3,39.2,38.8,38.6,38.2,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,45.3,46.2,46.2,,,,,,,,44,,42.6,45,42.7,41.8,40.9,40.4,40.9,41.3,40.3
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,39.3,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,41.5,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,47.2,47.3,46.1,46.5,47.4,45.7,45.8,44.7,44.1,43.9,44.1,43.6,43.4,43.4,43.4,43.3,43
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,,,,,,,,,,,,,
